group,value1,value2
a.d.j 9,0,5,5
munsif 3,1,4,5
a.d.j 10,0,5,5
a.d.j - ii,0,5,5
atrauli,0,5,5
munsif 2,1,4,5
8-additional district judge,1,4,5
a.d.j. 5th,0,5,5
special court,sc and st p.a. act, cuttack,0,5,5
munsif 1,1,4,5
sub-judge 7th,1,4,5
sub judge 1st,0,5,5
spl court cbi i,0,5,5
j.m.ist class-cum-addl.munsif iv,2,3,5
sub judge 6th,0,4,4
sub judge 7th,0,4,4
sub judge 5th,0,4,4
sub judge 4th,0,4,4
7-jmfc,1,3,4
10-jmfc,3,1,4
sub judge - ii,0,4,4
principal munsiff,0,3,4
additional special sessions court,1,3,4
special court under n.b.p.d.c.l,tirhut area,muzaffarpur,0,4,4
munsif 2nd,0,4,4
p.o. spl. court for economic offences,2,2,4
3-mm court,0,4,4
1-chief judicial magistrate,0,4,4
nandigama sr. courts,0,4,4
spl. court for child act,0,4,4
sub judge-vii,0,4,4
a.d.j 5 cum spl. court mp/mla/mlc,0,4,4
spl. judge n.i.a., patna,0,4,4
spl court cbi ii,1,3,4
sub-judge 9th,1,3,4
sub judge-iii,0,4,4
spl court cbi iii,0,4,4
special sessions court,0,4,4
12-additional district and sessions court,0,4,4
2-additional jmfc,1,3,4
spl judge vigilance i,0,4,4
a.d.j. 4th,0,4,4
sub judge viii,1,3,4
acd alwar district hq,0,4,4
special court for land grabing cases,1,3,4
aditional principal judge,0,4,4
4th a.d.j,0,4,4
a.d.j.-i-cum-spl. judge,0,4,4
a.d.j. ii,0,4,4
special court-ii,1,2,3
j.m 1st class,0,3,3
jcj court, puttaparthy,2,1,3
a.d.j iii,0,3,3
jcj courts, satyavedu,0,3,3
2-principal judge family court,0,3,3
2-railway ner,0,3,3
special mobile court,3,0,3
special court of excise,0,3,3
1-additional pocso,0,3,3
