year,disp_name,disp_name_s,count
2010,1,"258 crpc",15765
2010,2,"abated",22021
2010,3,"absconded",16773
2010,4,"acquitted",406015
2010,5,"allowed",244023
2010,6,"appeal accepted",670
2010,7,"award",31399
2010,8,"bail granted",553
2010,9,"bail refused",110
2010,10,"bail rejected",6
2010,11,"cancelled",338
2010,12,"closed",79826
2010,13,"committed",18426
2010,14,"compounded",2373
2010,15,"compromise",124493
2010,16,"confession",10189
2010,17,"contest-allowed",911
2010,18,"converted",19007
2010,19,"convicted",145668
2010,20,"decided",50118
2010,21,"died",1443
2010,22,"dismissed",540748
2010,23,"disposal in lok adalat",31046
2010,24,"disposed",269861
2010,25,"disposed-otherwise",261305
2010,26,"disposition var missing",613527
2010,27,"ex-parte",14818
2010,28,"execution",167
2010,29,"fine",61137
2010,30,"judgement",353931
2010,31,"not press",1866
2010,32,"other",207716
2010,33,"otherwise",70869
2010,34,"p.o. consign",1489
2010,35,"partly decreed",6161
2010,36,"plea bargaining",5018
2010,37,"plead guilty",24872
2010,38,"prison",362
2010,39,"probation",8293
2010,40,"procedural",10184
2010,41,"quash",1991
2010,42,"referred to lok adalat",145648
2010,43,"reject",75158
2010,44,"remanded",1478
2010,45,"settled",12701
2010,46,"sine die",5103
2010,47,"stayed",328
2010,48,"transferred",214163
2010,49,"uncontested",385
2010,50,"untrace",10379
2010,51,"withdrawn",140496
2011,1,"258 crpc",20940
2011,2,"abated",25759
2011,3,"absconded",18073
2011,4,"acquitted",483730
2011,5,"allowed",349841
2011,6,"appeal accepted",1071
2011,7,"award",38998
2011,8,"bail granted",597
2011,9,"bail refused",216
2011,10,"bail rejected",7
2011,11,"cancelled",755
2011,12,"closed",106342
2011,13,"committed",18094
2011,14,"compounded",3136
2011,15,"compromise",143022
2011,16,"confession",15616
2011,17,"contest-allowed",1253
2011,18,"converted",50132
2011,19,"convicted",171397
2011,20,"decided",75922
2011,21,"died",1760
2011,22,"dismissed",684800
2011,23,"disposal in lok adalat",41204
2011,24,"disposed",355885
2011,25,"disposed-otherwise",259022
2011,26,"disposition var missing",709349
2011,27,"ex-parte",18573
2011,28,"execution",301
2011,29,"fine",68672
2011,30,"judgement",379368
2011,31,"not press",3552
2011,32,"other",252099
2011,33,"otherwise",73373
2011,34,"p.o. consign",1884
2011,35,"partly decreed",7641
2011,36,"plea bargaining",9204
2011,37,"plead guilty",33190
2011,38,"prison",1440
2011,39,"probation",11267
2011,40,"procedural",15123
2011,41,"quash",2511
2011,42,"referred to lok adalat",172145
2011,43,"reject",93157
2011,44,"remanded",1994
2011,45,"settled",17104
2011,46,"sine die",5495
2011,47,"stayed",449
2011,48,"transferred",265835
2011,49,"uncontested",605
2011,50,"untrace",13503
2011,51,"withdrawn",183247
2012,1,"258 crpc",27825
2012,2,"abated",30695
2012,3,"absconded",21052
2012,4,"acquitted",555492
2012,5,"allowed",460683
2012,6,"appeal accepted",1670
2012,7,"award",40389
2012,8,"bail granted",574
2012,9,"bail refused",56
2012,10,"bail rejected",348
2012,11,"cancelled",1379
2012,12,"closed",117756
2012,13,"committed",23986
2012,14,"compounded",3680
2012,15,"compromise",174628
2012,16,"confession",22476
2012,17,"contest-allowed",1584
2012,18,"converted",30724
2012,19,"convicted",220785
2012,20,"decided",114216
2012,21,"died",2133
2012,22,"dismissed",839733
2012,23,"disposal in lok adalat",52905
2012,24,"disposed",489363
2012,25,"disposed-otherwise",238045
2012,26,"disposition var missing",899879
2012,27,"ex-parte",23292
2012,28,"execution",300
2012,29,"fine",121692
2012,30,"judgement",410768
2012,31,"not press",5550
2012,32,"other",315037
2012,33,"otherwise",92527
2012,34,"p.o. consign",1918
2012,35,"partly decreed",11101
2012,36,"plea bargaining",5214
2012,37,"plead guilty",52895
2012,38,"prison",570
2012,39,"probation",13971
2012,40,"procedural",18670
2012,41,"quash",3435
2012,42,"referred to lok adalat",202137
2012,43,"reject",117305
2012,44,"remanded",2822
2012,45,"settled",24927
2012,46,"sine die",4566
2012,47,"stayed",605
2012,48,"transferred",350198
2012,49,"uncontested",1132
2012,50,"untrace",18366
2012,51,"withdrawn",229729
2013,1,"258 crpc",40371
2013,2,"abated",32990
2013,3,"absconded",17989
2013,4,"acquitted",577297
2013,5,"allowed",591410
2013,6,"appeal accepted",1859
2013,7,"award",45904
2013,8,"bail granted",2051
2013,9,"bail refused",91
2013,10,"bail rejected",1637
2013,11,"cancelled",1540
2013,12,"closed",128838
2013,13,"committed",37740
2013,14,"compounded",5773
2013,15,"compromise",199059
2013,16,"confession",45866
2013,17,"contest-allowed",1905
2013,18,"converted",15102
2013,19,"convicted",327840
2013,20,"decided",124846
2013,21,"died",1742
2013,22,"dismissed",885011
2013,23,"disposal in lok adalat",73672
2013,24,"disposed",538697
2013,25,"disposed-otherwise",242324
2013,26,"disposition var missing",1244271
2013,27,"ex-parte",26770
2013,28,"execution",361
2013,29,"fine",166438
2013,30,"judgement",422495
2013,31,"not press",6833
2013,32,"other",367733
2013,33,"otherwise",83171
2013,34,"p.o. consign",2400
2013,35,"partly decreed",7306
2013,36,"plea bargaining",4806
2013,37,"plead guilty",110164
2013,38,"prison",743
2013,39,"probation",18970
2013,40,"procedural",25795
2013,41,"quash",4106
