state_code,district_code,number_of_cases,average
01,01,69477,2200.909113807446
01,02,137790,2077.939494883517
01,03,326713,2105.272147113831
01,04,207877,2197.0428450477707
01,05,193426,2311.217509538479
01,07,278814,2176.5187777514398
01,08,236413,2195.120735746316
01,09,654441,1992.712771663144
01,10,80248,2163.0803322201405
01,11,69117,2164.4364338730197
01,12,65076,1848.5432955313777
01,13,185863,2145.3240585808126
01,14,322366,2174.373607948719
01,15,222787,2255.05209460154
01,17,204802,2235.0512372925855
01,18,157636,2217.3326270648513
01,19,422414,1976.2901312456563
01,20,446207,2208.3477937370453
01,21,591281,2447.1884137998836
01,23,969909,2167.3239989525287
01,24,183536,2362.713206128512
01,25,681642,2213.287510159342
01,26,439576,2256.1243812219236
01,27,311038,2117.9019958975796
01,28,218655,2214.4653518099585
01,29,212829,2160.7206184307606
01,30,394180,2231.3276498046766
01,31,253319,2096.884396748734
01,32,85835,2019.6665870565616
01,33,51330,2122.0624780829667
01,34,250069,2336.234339322325
01,35,218813,2112.2569979845907
01,36,105593,2182.3274885645815
01,37,338620,2192.661512905346
01,38,60960,2411.663270997392
01,39,24630,2349.5885099472202
01,40,155950,2430.7594677781126
01,41,35753,2282.566483931412
01,42,192266,2280.9580841126067
01,43,2177,2791.072347266881
02,02,163458,2229.8785008992872
02,03,163275,2306.7781748583716
02,04,208833,2273.39838770692
02,05,252378,2264.383105896726
02,07,117820,2201.4515744356413
02,10,138490,2307.3549245432446
02,11,256248,2106.870978505173
02,15,104845,2316.406480995724
02,17,142987,2306.4397287865345
02,19,61960,2077.6781471918057
02,20,239902,2222.367264549709
02,21,64812,2244.1936292661585
02,23,155094,2180.174729518918
03,01,515099,2164.4489700038043
03,02,194193,1875.5776856014347
03,03,194066,2004.0831701586067
03,04,231712,1883.2291292639102
03,05,222818,2101.4236708883614
03,06,172964,2049.237162068407
03,07,109577,1993.0888461994762
03,08,82575,2047.0388979715435
03,09,247472,1666.2957971002795
03,10,185577,2239.9522246830315
03,11,180441,1914.9796110640102
03,12,299111,1747.9092293496271
03,13,181829,1956.3186372910802
03,14,224171,1702.7877267799975
03,15,310520,1942.9588190776758
03,16,180746,2183.895483164209
03,17,165785,1870.626857073914
03,18,367828,1811.877336689985
03,19,172897,1956.2834751325906
03,20,1659909,1633.9823171029145
03,21,363414,2095.5336090519872
03,22,284890,2090.2946523219152
03,23,385337,1775.7671635477657
03,24,241414,2093.4174530060736
03,25,83568,1909.0727670878805
03,26,421151,2176.3955434036448
03,27,114157,2059.776605902412
03,28,129952,2163.830433544671
03,29,138317,2084.5971319505097
03,30,63636,1973.5161543780227
04,01,150077,2364.768215649278
04,02,498958,2486.156325782916
04,03,272348,2421.8978971757087
04,04,539858,2512.4168920346633
04,05,354676,2295.095874826609
04,06,360415,2489.2688067920617
04,07,135707,2662.4042901250373
04,08,311936,2317.125278903392
04,09,500764,2671.3625669975277
04,10,423032,2477.014998865226
04,11,299052,2344.812562698145
04,12,246992,2471.014259571197
04,13,248,3437.7016129032263
04,15,539872,2653.545736767227
04,16,127361,2419.2239735868757
05,01,72910,2053.98201892746
