state_code,district_code,number_of_males,number_of_females
1,1,143,17
1,2,369,72
1,3,4,0
1,4,428,125
1,5,339,161
1,7,468,226
1,8,555,322
1,9,1703,661
1,10,86,73
1,11,138,20
1,12,86,0
1,13,283,130
1,14,398,98
1,15,252,95
1,17,506,103
1,18,174,102
1,19,995,522
1,20,902,468
1,21,791,549
1,23,101,18
1,24,125,46
1,25,819,428
1,26,858,469
1,27,314,94
1,28,373,190
1,29,306,96
1,30,688,285
1,31,380,109
1,32,275,130
1,33,77,18
1,34,416,248
1,36,128,33
1,37,1295,110
1,38,530,66
1,39,46,18
1,40,323,38
1,41,22,18
1,42,59,65
1,43,1,8
2,2,119,59
2,3,187,68
2,4,252,108
2,5,230,190
2,7,135,59
2,10,180,95
2,11,217,117
2,15,92,75
2,17,216,117
2,19,77,64
2,20,327,112
2,21,118,66
2,23,116,96
3,1,287,79
3,2,170,32
3,3,110,50
3,4,180,70
3,5,98,33
3,6,180,40
3,7,47,16
3,8,108,69
3,9,102,70
3,10,173,89
3,11,148,62
3,12,223,61
3,13,179,104
3,14,135,49
3,15,127,100
3,16,57,48
3,17,142,71
3,18,189,114
3,19,109,55
3,20,509,222
3,21,95,45
3,22,133,112
3,23,179,107
3,24,149,80
3,25,112,17
3,26,197,118
3,27,36,22
3,28,67,69
3,29,78,48
3,30,57,12
4,1,94,31
4,2,391,127
4,3,141,31
4,4,117,58
4,5,176,64
4,6,194,96
4,7,129,30
4,8,104,50
4,9,208,106
4,10,174,80
4,11,124,59
4,12,114,39
4,13,3,0
4,15,115,76
4,16,112,17
5,1,56,24
5,2,73,30
5,3,46,17
5,4,72,28
5,5,48,40
5,6,109,27
5,7,29,21
5,8,31,2
5,9,52,3
5,10,57,14
5,11,72,46
6,1,131,62
6,2,40,31
6,3,49,39
6,4,34,27
6,5,28,17
6,6,53,47
6,7,30,34
6,8,31,11
6,9,30,28
6,10,66,51
6,11,31,21
6,12,39,17
6,13,41,11
6,15,18,30
6,16,64,14
6,17,44,15
6,18,30,37
6,19,50,22
6,20,49,50
6,21,22,7
6,22,8,3
6,23,12,23
6,24,12,10
6,25,9,2
6,26,4,4
6,27,5,0
6,28,7,0
7,1,62,14
7,2,81,0
7,3,48,15
7,4,79,3
7,5,76,2
7,6,66,0
7,7,123,26
7,8,48,0
7,9,197,34
7,10,102,18
7,11,104,30
7,12,68,0
7,13,108,10
7,14,57,0
7,15,92,4
7,16,108,23
7,17,91,5
7,18,19,0
7,19,59,2
7,20,79,1
7,21,69,0
7,22,319,41
8,1,236,8
8,2,259,12
8,3,195,26
8,4,199,25
8,5,3,0
8,6,94,2
8,7,68,3
8,9,114,2
8,10,160,6
8,11,95,5
8,12,76,0
8,13,102,1
8,14,78,1
8,15,44,2
8,16,140,4
8,17,154,3
8,18,57,3
8,19,55,1
8,20,36,0
8,21,82,3
8,22,51,0
8,23,168,4
8,24,115,1
8,25,70,7
8,26,191,12
8,27,83,7
8,28,94,1
8,29,78,2
8,30,59,0
8,31,92,6
8,33,144,25
8,34,37,1
8,35,111,30
8,36,41,2
8,37,26,0
8,38,147,37
8,39,92,33
9,1,127,24
9,2,172,90
9,3,80,75
9,4,351,272
9,5,79,70
9,6,120,41
9,7,150,56
9,8,64,21
9,9,177,65
9,10,99,40
9,11,82,19
9,12,89,27
9,13,170,66
9,14,177,105
9,18,33,23
9,19,118,42
9,20,236,115
9,21,58,5
9,22,98,24
9,23,54,7
9,24,60,15
9,25,36,17
9,26,76,20
9,27,56,31
9,28,170,99
9,29,70,36
9,30,137,45
9,31,92,58
9,32,46,11
9,33,88,16
9,34,61,22
9,35,49,53
9,36,83,31
9,38,94,52
9,39,36,9
10,1,51,25
10,2,16,9
